file,score_5,folder_label,age_band,gender,source
Disengagement__11-15-Years__Boy__DISENG_11_15_BOY_135.jpg,3,Disengagement,11-15 Years,Boy,labeling/images/Final Dataset 256/Final Dataset 256/Disengagement/11-15 Years/Boy/DISENG_11_15_BOY_135.jpg
Disengagement__11-15-Years__Boy__DISENG_11_15_BOY_226.jpg,4,Disengagement,11-15 Years,Boy,labeling/images/Final Dataset 256/Final Dataset 256/Disengagement/11-15 Years/Boy/DISENG_11_15_BOY_226.jpg
Disengagement__11-15-Years__Boy__DISENG_11_15_BOY_227.jpg,3,Disengagement,11-15 Years,Boy,labeling/images/Final Dataset 256/Final Dataset 256/Disengagement/11-15 Years/Boy/DISENG_11_15_BOY_227.jpg
Disengagement__11-15-Years__Boy__DISENG_11_15_BOY_3.jpg,3,Disengagement,11-15 Years,Boy,labeling/images/Final Dataset 256/Final Dataset 256/Disengagement/11-15 Years/Boy/DISENG_11_15_BOY_3.jpg
Disengagement__11-15-Years__Boy__DISENG_11_15_BOY_337.jpg,1,Disengagement,11-15 Years,Boy,labeling/images/Final Dataset 256/Final Dataset 256/Disengagement/11-15 Years/Boy/DISENG_11_15_BOY_337.jpg
Disengagement__11-15-Years__Boy__DISENG_11_15_BOY_358.jpg,4,Disengagement,11-15 Years,Boy,labeling/images/Final Dataset 256/Final Dataset 256/Disengagement/11-15 Years/Boy/DISENG_11_15_BOY_358.jpg
Disengagement__11-15-Years__Boy__DISENG_11_15_BOY_378.jpg,2,Disengagement,11-15 Years,Boy,labeling/images/Final Dataset 256/Final Dataset 256/Disengagement/11-15 Years/Boy/DISENG_11_15_BOY_378.jpg
Disengagement__11-15-Years__Boy__DISENG_11_15_BOY_428.jpg,1,Disengagement,11-15 Years,Boy,labeling/images/Final Dataset 256/Final Dataset 256/Disengagement/11-15 Years/Boy/DISENG_11_15_BOY_428.jpg
Disengagement__11-15-Years__Boy__DISENG_11_15_BOY_453.jpg,1,Disengagement,11-15 Years,Boy,labeling/images/Final Dataset 256/Final Dataset 256/Disengagement/11-15 Years/Boy/DISENG_11_15_BOY_453.jpg
Disengagement__11-15-Years__Boy__DISENG_11_15_BOY_471.jpg,1,Disengagement,11-15 Years,Boy,labeling/images/Final Dataset 256/Final Dataset 256/Disengagement/11-15 Years/Boy/DISENG_11_15_BOY_471.jpg
Disengagement__11-15-Years__Boy__DISENG_11_15_BOY_486.jpg,1,Disengagement,11-15 Years,Boy,labeling/images/Final Dataset 256/Final Dataset 256/Disengagement/11-15 Years/Boy/DISENG_11_15_BOY_486.jpg
Disengagement__11-15-Years__Boy__DISENG_11_15_BOY_538.jpg,1,Disengagement,11-15 Years,Boy,labeling/images/Final Dataset 256/Final Dataset 256/Disengagement/11-15 Years/Boy/DISENG_11_15_BOY_538.jpg
Disengagement__11-15-Years__Boy__DISENG_11_15_BOY_546.jpg,1,Disengagement,11-15 Years,Boy,labeling/images/Final Dataset 256/Final Dataset 256/Disengagement/11-15 Years/Boy/DISENG_11_15_BOY_546.jpg
Disengagement__11-15-Years__Boy__DISENG_11_15_BOY_563.jpg,1,Disengagement,11-15 Years,Boy,labeling/images/Final Dataset 256/Final Dataset 256/Disengagement/11-15 Years/Boy/DISENG_11_15_BOY_563.jpg
Disengagement__11-15-Years__Boy__DISENG_11_15_BOY_57.jpg,3,Disengagement,11-15 Years,Boy,labeling/images/Final Dataset 256/Final Dataset 256/Disengagement/11-15 Years/Boy/DISENG_11_15_BOY_57.jpg
Disengagement__11-15-Years__Boy__DISENG_11_15_BOY_636.jpg,2,Disengagement,11-15 Years,Boy,labeling/images/Final Dataset 256/Final Dataset 256/Disengagement/11-15 Years/Boy/DISENG_11_15_BOY_636.jpg
Disengagement__11-15-Years__Boy__DISENG_11_15_BOY_795.jpg,1,Disengagement,11-15 Years,Boy,labeling/images/Final Dataset 256/Final Dataset 256/Disengagement/11-15 Years/Boy/DISENG_11_15_BOY_795.jpg
Disengagement__11-15-Years__Boy__DISENG_11_15_BOY_798.jpg,1,Disengagement,11-15 Years,Boy,labeling/images/Final Dataset 256/Final Dataset 256/Disengagement/11-15 Years/Boy/DISENG_11_15_BOY_798.jpg
Disengagement__11-15-Years__Boy__DISENG_11_15_BOY_820.jpg,1,Disengagement,11-15 Years,Boy,labeling/images/Final Dataset 256/Final Dataset 256/Disengagement/11-15 Years/Boy/DISENG_11_15_BOY_820.jpg
Disengagement__11-15-Years__Boy__DISENG_11_15_BOY_863.jpg,1,Disengagement,11-15 Years,Boy,labeling/images/Final Dataset 256/Final Dataset 256/Disengagement/11-15 Years/Boy/DISENG_11_15_BOY_863.jpg
Disengagement__11-15-Years__Boy__DISENG_11_15_BOY_877.jpg,1,Disengagement,11-15 Years,Boy,labeling/images/Final Dataset 256/Final Dataset 256/Disengagement/11-15 Years/Boy/DISENG_11_15_BOY_877.jpg
Disengagement__11-15-Years__Boy__DISENG_11_15_BOY_919.jpg,1,Disengagement,11-15 Years,Boy,labeling/images/Final Dataset 256/Final Dataset 256/Disengagement/11-15 Years/Boy/DISENG_11_15_BOY_919.jpg
Disengagement__11-15-Years__Boy__DISENG_11_15_BOY_920.jpg,1,Disengagement,11-15 Years,Boy,labeling/images/Final Dataset 256/Final Dataset 256/Disengagement/11-15 Years/Boy/DISENG_11_15_BOY_920.jpg
Disengagement__11-15-Years__Boy__DISENG_11_15_BOY_935.jpg,1,Disengagement,11-15 Years,Boy,labeling/images/Final Dataset 256/Final Dataset 256/Disengagement/11-15 Years/Boy/DISENG_11_15_BOY_935.jpg
Disengagement__11-15-Years__Boy__DISENG_11_15_BOY_945.jpg,1,Disengagement,11-15 Years,Boy,labeling/images/Final Dataset 256/Final Dataset 256/Disengagement/11-15 Years/Boy/DISENG_11_15_BOY_945.jpg
Disengagement__11-15-Years__Boy__DISENG_11_15_BOY_989.jpg,1,Disengagement,11-15 Years,Boy,labeling/images/Final Dataset 256/Final Dataset 256/Disengagement/11-15 Years/Boy/DISENG_11_15_BOY_989.jpg
Disengagement__11-15-Years__Boy__DISENG_11_15_BOY_991.jpg,1,Disengagement,11-15 Years,Boy,labeling/images/Final Dataset 256/Final Dataset 256/Disengagement/11-15 Years/Boy/DISENG_11_15_BOY_991.jpg
Disengagement__11-15-Years__Girl__DISENG_11_15_GIRL_166.jpg,3,Disengagement,11-15 Years,Girl,labeling/images/Final Dataset 256/Final Dataset 256/Disengagement/11-15 Years/Girl/DISENG_11_15_GIRL_166.jpg
Disengagement__11-15-Years__Girl__DISENG_11_15_GIRL_186.jpg,3,Disengagement,11-15 Years,Girl,labeling/images/Final Dataset 256/Final Dataset 256/Disengagement/11-15 Years/Girl/DISENG_11_15_GIRL_186.jpg
Disengagement__11-15-Years__Girl__DISENG_11_15_GIRL_19.jpg,1,Disengagement,11-15 Years,Girl,labeling/images/Final Dataset 256/Final Dataset 256/Disengagement/11-15 Years/Girl/DISENG_11_15_GIRL_19.jpg
Disengagement__11-15-Years__Girl__DISENG_11_15_GIRL_191.jpg,4,Disengagement,11-15 Years,Girl,labeling/images/Final Dataset 256/Final Dataset 256/Disengagement/11-15 Years/Girl/DISENG_11_15_GIRL_191.jpg
Disengagement__11-15-Years__Girl__DISENG_11_15_GIRL_233.jpg,4,Disengagement,11-15 Years,Girl,labeling/images/Final Dataset 256/Final Dataset 256/Disengagement/11-15 Years/Girl/DISENG_11_15_GIRL_233.jpg
Disengagement__11-15-Years__Girl__DISENG_11_15_GIRL_329.jpg,4,Disengagement,11-15 Years,Girl,labeling/images/Final Dataset 256/Final Dataset 256/Disengagement/11-15 Years/Girl/DISENG_11_15_GIRL_329.jpg
Disengagement__11-15-Years__Girl__DISENG_11_15_GIRL_384.jpg,4,Disengagement,11-15 Years,Girl,labeling/images/Final Dataset 256/Final Dataset 256/Disengagement/11-15 Years/Girl/DISENG_11_15_GIRL_384.jpg
Disengagement__11-15-Years__Girl__DISENG_11_15_GIRL_39.jpg,3,Disengagement,11-15 Years,Girl,labeling/images/Final Dataset 256/Final Dataset 256/Disengagement/11-15 Years/Girl/DISENG_11_15_GIRL_39.jpg
Disengagement__11-15-Years__Girl__DISENG_11_15_GIRL_402.jpg,4,Disengagement,11-15 Years,Girl,labeling/images/Final Dataset 256/Final Dataset 256/Disengagement/11-15 Years/Girl/DISENG_11_15_GIRL_402.jpg
Disengagement__11-15-Years__Girl__DISENG_11_15_GIRL_424.jpg,4,Disengagement,11-15 Years,Girl,labeling/images/Final Dataset 256/Final Dataset 256/Disengagement/11-15 Years/Girl/DISENG_11_15_GIRL_424.jpg
Disengagement__11-15-Years__Girl__DISENG_11_15_GIRL_499.jpg,4,Disengagement,11-15 Years,Girl,labeling/images/Final Dataset 256/Final Dataset 256/Disengagement/11-15 Years/Girl/DISENG_11_15_GIRL_499.jpg
